Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1400
f8fd0782-a9fc-4c02-b556-72740853bc18,,,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,Known hypertensive,ជំងឺលើសសម្ពាធឈាមដែលបានដឹង,,,Question,Coded,Yes;No,,,
b8edfbde-5f94-421e-8b25-e86afe35d0f7,,,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,Known diabetic,ជំងឺទឹកនោមផ្អែមដែលបានដឹង,,,Question,Coded,Yes;No,,,
c311aec0-dd3d-4c84-a4ab-601fab82ca37,,,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,Antihypertensive medication use,បច្ចុប្បន្នកំពុងប្រើថ្នាំព្យាបាលជំងឺលើសសម្ពាធឈាម,,,Question,Coded,Yes;No,,,
3c803217-425c-4d7c-a2cb-fc2256ad7ca2,,,"Currently, is the patient using drug for the treatment of Diabetes?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែមឬទេ?,"Currently, is the patient using drug for the treatment of Diabetes?",បច្ចុប្បន្ន អ្នកជំងឺកំពុងប្រើប្រាស់ថ្នាំព្យាបាលជំងឺទឹកនោមផ្អែមឬទេ?,,,Question,Coded,Yes;No,,,
6d659ab9-798f-4091-9be0-90ebf52c18c2,,,Healthy lifestyle changes,ផ្លាស់ប្តូររបៀបរស់នៅ,Healthy lifestyle changes,ផ្លាស់ប្តូររបៀបរស់នៅ,,,Misc,N/A,,,,
7cf6d87c-4a23-467d-83c1-cd5efacd8cd1,,,Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),Diabetes/Kidney disease in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺទឹកនោមផ្អែម ឬជំងឺតម្រងនោមចំពោះសាច់ញាតិបង្កើត (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
157621ff-16ac-4dd4-bc96-6164d3248807,,,Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),Premature heart disease/stroke in first degree relatives,ធ្លាប់មានប្រវត្តិជំងឺបេះដូង ឬគ្រោះថ្នាក់សរសៃឈាមខួរក្បាលចំពោះសាច់ញាតិបង្កើត  (ខ្សែទីមួយ),,,Question,Coded,Yes;No,,,
ad8f9ff4-63f1-40b9-b405-aef4ae674c2d,,,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,Past Medical History,ប្រវត្តិសុខភាពពីអតីតកាល,,,ConvSet,N/A,,Known hypertensive;Known diabetic;Antihypertensive medication use;3c803217-425c-4d7c-a2cb-fc2256ad7ca2;Diabetes/Kidney disease in first degree relatives;Premature heart disease/stroke in first degree relatives,,
e0fffb24-5973-40a9-af11-2e4033831747,,,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,Presence of TB symptoms,មានរោគសញ្ញាសង្ស័យរបេង,,,Question,Coded,Yes;No,,,
b10eae79-8358-4653-822b-33336644db36,,,Suspected TB symptoms,រោគសញ្ញាសង្ស័យរបេង,Suspected TB symptoms,រោគសញ្ញាសង្ស័យរបេង,,,Question,Coded,Yes;No,,,
ea543526-f3d3-4a23-a8aa-0c0acf529d51,,,Referred to TB section,បានបញ្ជូនទៅផ្នែកជំងឺរបេង,Referred to TB section,បានបញ្ជូនទៅផ្នែកជំងឺរបេង,,,Question,Coded,Yes;No,,,
e43b443b-70de-48f3-8d6c-081337621982,,,Have you been screened for Diabetes and Hypertension?,តើអ្នកធ្លាប់បានទៅពិនិត្យជំងឺទឹកនោមផ្អែម និងជំងឺលើសសម្ពាធឈាម ដែរឬទេ?,Have you been screened for Diabetes and Hypertension?,តើអ្នកធ្លាប់បានទៅពិនិត្យជំងឺទឹកនោមផ្អែម និងជំងឺលើសសម្ពាធឈាម ដែរឬទេ?,,,Question,Coded,Yes;No,,,
