Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1003
123919AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Ulcer,ដំបៅ,Ulcer,ដំបៅ,,,Misc,N/A,,,,
871389dc-a412-40ba-aa6d-d12497065ce0,,,Amputation,កាត់ជើង,Amputation,កាត់ជើង,,,Misc,N/A,,,,
735dc19f-78f0-4f0f-861b-e2b4328521b4,,,AKA,ការវះកាត់យកជើងខាងលើជង្គង់ចេញ,AKA,ការវះកាត់យកជើងខាងលើជង្គង់ចេញ,,,Misc,N/A,,,,
bb9a023b-a077-4aad-baac-021c8ed1f626,,,BKA,ការវះកាត់យកជើងខាងក្រោមជង្គង់ចេញ,BKA,ការវះកាត់យកជើងខាងក្រោមជង្គង់ចេញ,,,Misc,N/A,,,,
81318009-e9fb-4b8a-9bf6-17082cefd19e,,,Symptom of PN-Pain,រោគសញ្ញាជំងឺសរសៃប្រសាទឈឺ,Symptom of PN-Pain,រោគសញ្ញាជំងឺសរសៃប្រសាទឈឺ,,,Misc,N/A,,,,
be0c7342-12da-48c1-a247-89379f80e18d,,,Symptom of PN-Pins and Needle,រោគសញ្ញាជំងឺសរសៃប្រសាទឈឺដូចម្ជុលចាក់,Symptom of PN-Pins and Needle,រោគសញ្ញាជំងឺសរសៃប្រសាទឈឺដូចម្ជុលចាក់,,,Misc,N/A,,,,
4ff6c3ea-2be8-4aac-b371-faa3bb450255,,,Symptom of PN-Numbness,រោគសញ្ញាជំងឺសរសៃប្រសាទស្ពឹកៗ,Symptom of PN-Numbness,រោគសញ្ញាជំងឺសរសៃប្រសាទស្ពឹកៗ,,,Misc,N/A,,,,
8c001d6a-9525-4008-8d06-eebc713f5d8c,,,Symptom of PN-Burning,រោគសញ្ញាជំងឺសរសៃប្រសាទក្តៅដូចរលាក,Symptom of PN-Burning,រោគសញ្ញាជំងឺសរសៃប្រសាទក្តៅដូចរលាក,,,Misc,N/A,,,,
0571152b-1f18-4603-9c86-d77883525e61,,,Symptom PAD-Yes,មានឈឺពេលសម្រាក,Symptom PAD-Yes,មានឈឺពេលសម្រាក,,,Misc,N/A,,,,
c9cfaaf9-0f14-4805-a151-b0544cbd8870,,,Symptom of PAD-No,អត់មានឈឺពេលសម្រាក,Symptom of PAD-No,អត់មានឈឺពេលសម្រាក,,,Misc,N/A,,,,
7640b59c-0692-4736-90a1-52a9f5f2d089,,,Pulses-Normal,ជីពចរជើងធម្មតា,Pulses-Normal,ជីពចរជើងធម្មតា,,,Misc,N/A,,,,
bbf9ee15-e3df-4026-825f-e17325027795,,,Pulse-Abnormal,ជីពចរជើងមិនធម្មតា,Pulse-Abnormal,ជីពចរជើងមិនធម្មតា,,,Misc,N/A,,,,
eceb2426-dd37-490d-b4f0-711c5f76060b,,,Pulse - Normal - Detectable,ជីពចរជើង - ធម្មតា -ស្ទាបដឹង,Pulse - Normal - Detectable,ជីពចរជើង - ធម្មតា -ស្ទាបដឹង,,,Misc,N/A,,,,
163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Absent,គ្មានជីពចរ ស្ទាបអត់ដឹង,Absent,គ្មានជីពចរ ស្ទាបអត់ដឹង,,,Misc,N/A,,,,
9661c8c0-d5d6-4b80-8043-fa1d5fa0ec94,,,Monofilament-Normal,Monofilament ធម្មតា,Monofilament-Normal,Monofilament ធម្មតា,,,Misc,N/A,,,,
b5aead5b-e0ed-4462-8d38-44cc0ab63dfc,,,Monofilament-Abnormal,Monofilament មិនធម្មតា,Monofilament-Abnormal,Monofilament មិនធម្មតា,,,Misc,N/A,,,,
8c2d8409-7c6d-4d8b-84a3-a2bea243c0b8,,,Foot exam problem,ការពិនិត្យជើង បញ្ហា,Foot exam problem,ការពិនិត្យជើង បញ្ហា,,,Question,Coded,Yes;No,,,
c08665e0-5f0a-4d23-886d-d14e8e1bf40d,,,Numbness,ស្ពឹក,Numbness,ស្ពឹក,,,Misc,N/A,,,,
978422b8-a953-44c4-8dfb-ca7128d1e4ca,,,Wounds,ដំបៅ,Wounds,ដំបៅ,,,Misc,N/A,,,,
